no,tanggal_produksi,jam_produksi,nama_sampel,jenis_sampel,t10,t15,t20,t25,t30,t35,t40,t45,t50,t55,t60,t65
1,2025-09-15,2.3,RBDHPKOL,RBDHPKOL,94.6,91.37,76,52.94,34.3,12.94,7.01,1.89,0.1,0,0,0
2,2025-09-15,3,RBDHPKOL,RBDHPKOL,95.22,91.98,79.99,55.9,30.65,13.53,7.43,2.29,0.14,0,0,0
3,2025-09-15,2.3,RBDHPKOL (Sample Ulang),RBDHPKOL,95.32,92.34,80.8,55.06,31.39,12.35,7.55,2.94,0.32,0,0,0
4,2025-09-15,4,RBDHPKOL,RBDHPKOL,95.43,93.16,81.57,56.64,30.86,14.88,7.26,2.44,0,0,0,0
5,2025-09-15,4.3,RBDHPKOL,RBDHPKOL,96.05,93.17,82.37,58.64,32.99,15.5,7.76,2.02,0,0,0,0
6,2025-09-15,5,RBDHPKOL,RBDHPKOL,95.93,92.48,81.69,57.97,31.64,14.86,8.32,2.06,0,0,0,0
7,2025-09-15,6,RBDHPKOL,RBDHPKOL,95.7,93.23,81.25,57.68,31.37,15.15,6.66,1.94,0,0,0,0
8,2025-09-15,7,RBDHPKOL,RBDHPKOL,96.8,93.29,82.68,59.39,33.97,15.68,7.83,3.02,0.06,0,0,0
9,2025-09-16,9,RBDHPKOL,RBDHPKOL,96.17,93.46,82.95,59.39,33.21,15.66,7.29,2.53,0.42,0,0,0
10,2025-09-16,10,RBDHPKOL,RBDHPKOL,95.76,91.82,78.58,60.31,35.06,15.79,8.44,2.69,0,0,0,0
11,2025-09-16,11,RBDHPKOL,RBDHPKOL,95.88,91.94,81.16,60.41,34.36,16.31,8.53,3.53,0.17,0,0,0
12,2025-09-16,12,RBDHPKOL,RBDHPKOL,96.23,93.27,82.23,61.04,34.89,15.96,8.77,2.69,0,0,0,0
13,2025-09-16,13,RBDHPKOL,RBDHPKOL,96.28,93.04,81.9,60.37,33.96,15.33,7.74,2.45,0,0,0,0
14,2025-09-16,14,RBDHPKOL,RBDHPKOL,96.06,93.17,82.23,61.08,34.17,16.01,7.94,2.01,0,0,0,0
15,2025-09-16,15,RBDHPKOL,RBDHPKOL,96.28,93.24,81.79,60.51,35.45,15.33,8.22,2.85,0,0,0,0
16,2025-09-20,9,RBDHPKST,RBDHPKST,96.64,95.61,93.29,75.04,29.02,2.2,0.85,0,0,0,0,0
17,2025-09-20,11,RBDHPKST,RBDHPKST,97.46,96.79,95.33,80.23,33.45,3.24,0.75,0,0,0,0,0
18,2025-09-20,13,RBDHPKST,RBDHPKST,97.5,96.81,95.72,82.7,36.1,3.72,0,0,0,0,0,0
19,2025-09-20,15,RBDHPKST,RBDHPKST,97.57,96.5,95.72,82.8,36.64,3.85,0,0,0,0,0,0
20,2025-09-20,19,RBDHPKOL,RBDHPKOL,96.3,93.44,82.37,58.08,34.51,16.64,7.82,3.04,0,0,0,0
21,2025-09-20,17,RBDHPKOL,RBDHPKOL,96.3,95.95,80,60.43,38.4,17,9.91,2.98,0,0,0,0
22,2025-09-20,21,RBDHPKOL,RBDHPKOL,96.01,95.75,79.67,59.96,35.92,17.25,9.32,3.3,0,0,0,0
23,2025-09-20,23,RBDHPKOL,RBDHPKOL,96.33,95.56,79.72,59.6,36.31,16.43,8.65,3.36,0,0,0,0
24,2025-09-20,1,RBDHPKOL,RBDHPKOL,96.15,95.57,79.91,58.81,36.34,17.65,9.14,3.34,0,0,0,0
25,2025-09-20,3,RBDHPKOL,RBDHPKOL,96.27,95.77,79.65,59.26,36.58,16.76,9.91,4.28,0,0,0,0
26,2025-09-20,5,RBDHPKOL,RBDHPKOL,95.66,95.66,79.77,59.6,36.04,17.18,10.35,2.92,0.32,0,0,0
27,2025-09-20,7,RBDHPKOL,RBDHPKOL,96.56,95.56,79.7,58.79,35.03,16.85,8.91,3.48,0,0,0,0
28,2025-09-30,23,RBDHPKOL,RBDHPKOL,96.32,95.42,78.52,59.21,32.54,18.63,11.7,4.51,0,0,0,0
29,2025-09-30,0,RBDHPKOL,RBDHPKOL,97.36,95.72,89.82,66.43,36.24,13.17,6.81,1.38,0,0,0,0
30,2025-09-30,3,RBDHPKOL,RBDHPKOL,94.31,92.15,81.01,63.66,36.25,23.19,14.28,5.66,0,0,0,0
31,2025-09-30,5,RBDHPKOL,RBDHPKOL,94.1,92.31,81.58,63.21,35.18,22.79,14.52,5.56,0,0,0,0
32,2025-10-01,9,RBDHPKOL,RBDHPKOL,94.09,92.23,81.07,63.52,36.89,21.94,12.52,5.98,0,0,0,0
